name,filiere,category,eicCode,plantId,reactorIndex,netPower_MW
FR_LANDIVISIAUPU,Gaz,,LANDIVISIAU,-,446
FR_MAREGES,Hydraulique fil de l'eau / éclusée,,MAREGES,-,146
FR_SAINT-PIERRE,Hydraulique fil de l'eau / éclusée,,SAINT PIERRE,-,122
FR-GA-MORANT1,Gaz,,GA MORANT,-,420
GENNEVILLIERS 1,Gaz,,GENNEVILLIERS,1,203
GOLFECH 1,Nucléaire,NUCLEAR,,GOLFECH,1,1310
GOLFECH 2,Nucléaire,NUCLEAR,,GOLFECH,2,1310
GRAND MAISON 1,Hydraulique STEP,,GRAND MAISON,1,152
GRAND MAISON 10,Hydraulique STEP,,GRAND MAISON ,10,170
GRAND MAISON 11,Hydraulique STEP,,GRAND MAISON ,11,157
GRAND MAISON 12,Hydraulique STEP,,GRAND MAISON ,12,170
GRAND MAISON 2,Hydraulique STEP,,GRAND MAISON,2,152
GRAND MAISON 3,Hydraulique STEP,,GRAND MAISON,3,152
GRAND MAISON 4,Hydraulique STEP,,GRAND MAISON,4,152
GRAND MAISON 5,Hydraulique STEP,,GRAND MAISON,5,152
GRAND MAISON 6,Hydraulique STEP,,GRAND MAISON,6,152
GRAND MAISON 7,Hydraulique STEP,,GRAND MAISON,7,152
GRAND MAISON 8,Hydraulique STEP,,GRAND MAISON,8,152
GRAND MAISON 9,Hydraulique STEP,,GRAND MAISON,9,157
GRAVELINES 1,Nucléaire,NUCLEAR,,GRAVELINES,1,910
GRAVELINES 2,Nucléaire,NUCLEAR,,GRAVELINES,2,910
GRAVELINES 3,Nucléaire,NUCLEAR,,GRAVELINES,3,910
GRAVELINES 4,Nucléaire,NUCLEAR,,GRAVELINES,4,910
GRAVELINES 5,Nucléaire,NUCLEAR,,GRAVELINES,5,910
GRAVELINES 6,Nucléaire,NUCLEAR,,GRAVELINES,6,910
GROUPE 01 DE LA CENTRALE DE SAUVETERRE,Hydraulique fil de l'eau / éclusée,,SAUVETERRE,1,33
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,,AVIGNON,1,30
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,,BEAUCAIRE,1,35
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,,BEAUCHASTEL,1,32
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,,BOLLENE,1,58.4
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,,BOURG-LES-VALENCE,1,30
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BREGNIER-CORDON,Hydraulique fil de l'eau / éclusée,,BREGNIER-CORDON,1,35
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BRENS,Hydraulique fil de l'eau / éclusée,,BRENS,1,45
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,,CADEROUSSE,1,30.9
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,,CHATEAUNEUF-DU-RHONE,1,46
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CHAUTAGNE,Hydraulique fil de l'eau / éclusée,,CHAUTAGNE,1,45
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,,GENISSIAT,1,65.1
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,,GERVANS,1,30
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,,LOGIS-NEUF,1,32
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,,PIERRE-BENITE,1,20
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,,SABLONS,1,40
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SAULT-BRENAZ,Hydraulique fil de l'eau / éclusée,,SAULT-BRENAZ,1,22.3
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,Hydraulique fil de l'eau / éclusée,,SEYSSEL,1,13.5
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,,VAUGRIS,1,18
GROUPE 02 DE LA CENTRALE DE SAUVETERRE,Hydraulique fil de l'eau / éclusée,,SAUVETERRE,2,33
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,,AVIGNON,2,30
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,,BEAUCAIRE,2,35
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,,BEAUCHASTEL,2,32
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,,BOLLENE,2,58
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,,BOURG-LES-VALENCE,2,30
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BRENS,Hydraulique fil de l'eau / éclusée,,BRENS,2,45
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,,CADEROUSSE,2,30.9
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,,CHATEAUNEUF-DU-RHONE,2,45.8
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CHAUTAGNE,Hydraulique fil de l'eau / éclusée,,CHAUTAGNE,2,45
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,,GENISSIAT,2,65.1
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,,GERVANS,2,30
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,,LOGIS-NEUF,2,32
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,,PIERRE-BENITE,2,20
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,,SABLONS,2,40
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SAULT-BRENAZ,Hydraulique fil de l'eau / éclusée,,SAULT-BRENAZ,2,22.3
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,Hydraulique fil de l'eau / éclusée,,SEYSSEL,2,13.5
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,,VAUGRIS,2,18
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,,AVIGNON,3,30
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,,BEAUCAIRE,3,35
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,,BEAUCHASTEL,3,32
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,,BOLLENE,3,58.4
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,,BOURG-LES-VALENCE,3,30
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,,CADEROUSSE,3,30.9
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,,CHATEAUNEUF-DU-RHONE,3,46
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,,GENISSIAT,3,66.2
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,,GERVANS,3,30
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,,LOGIS-NEUF,3,31.9
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,,PIERRE-BENITE,3,20
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,,SABLONS,3,40
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,Hydraulique fil de l'eau / éclusée,,SEYSSEL,3,13.5
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,,VAUGRIS,3,18
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,,AVIGNON,4,30
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,,BEAUCAIRE,4,35
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,,BEAUCHASTEL,4,32
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,,BOLLENE,4,58
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,,BOURG-LES-VALENCE,4,30
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,,CADEROUSSE,4,31.5
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,,CHATEAUNEUF-DU-RHONE,4,45.8
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,,GENISSIAT,4,65.1
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,,GERVANS,4,30
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,,LOGIS-NEUF,4,31.9
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,,PIERRE-BENITE,4,20
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,,SABLONS,4,40
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,,VAUGRIS,4,18
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,,BEAUCAIRE,5,35
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,,BEAUCHASTEL,5,32
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,,BOLLENE,5,58
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,,BOURG-LES-VALENCE,5,30
