name,filiere,category,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
CORDEMAIS 5,Charbon,FOSSIL_HARD_COAL,,CORDEMAIS,5,,,,580,,,,,,
COUESQUE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,COUESQUE,-,,,,119,,,,,,
Croix-de-Metz,Gaz,FOSSIL_GAS,,CROIX DE METZ,-,,,,445,,,,,,
CRUAS 1,Nucléaire,NUCLEAR,,CRUAS,1,,,,915,,,,,,
CRUAS 2,Nucléaire,NUCLEAR,,CRUAS,2,,,,915,,,,,,
CRUAS 3,Nucléaire,NUCLEAR,,CRUAS,3,,,,915,,,,,,
CRUAS 4,Nucléaire,NUCLEAR,,CRUAS,4,,,,915,,,,,,
CURBANS,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,CURBANS,-,,,,139,,,,,,
CYCOFOS PL1,Gaz,FOSSIL_GAS,,CYCOFOS ,-,,,,428,,,,,,
DAMPIERRE 1,Nucléaire,NUCLEAR,,DAMPIERRE,1,,,,890,,,,,,
DAMPIERRE 2,Nucléaire,NUCLEAR,,DAMPIERRE,2,,,,890,,,,,,
DAMPIERRE 3,Nucléaire,NUCLEAR,,DAMPIERRE,3,,,,890,,,,,,
DAMPIERRE 4,Nucléaire,NUCLEAR,,DAMPIERRE,4,,,,890,,,,,,
DIRINON 1,Fioul,FOSSIL_OIL,,DIRINON,1,,,,85,,,,,,
DIRINON 2,Fioul,FOSSIL_OIL,,DIRINON,2,,,,85,,,,,,
DK6-TG1,Gaz,FOSSIL_GAS,,DK6,-,,,,167,,,,,,
DK6-TG2,Gaz,FOSSIL_GAS,,DK6,-,,,,167,,,,,,
DK6-TV1,Gaz,FOSSIL_GAS,,DK6,-,,,,231,,,,,,
DK6-TV2,Gaz,FOSSIL_GAS,,DK6,-,,,,231,,,,,,
EMILE HUCHET 4,Charbon,FOSSIL_HARD_COAL,,EMILE HUCHET,4,,,,115,,,,,,
EMILE HUCHET 5,Charbon,FOSSIL_HARD_COAL,,EMILE HUCHET,5,,,,285,,,,,,
EMILE HUCHET 6,Charbon,FOSSIL_HARD_COAL,,EMILE HUCHET,6,,,,595,,,,,,
EMILE HUCHET 7,Gaz,FOSSIL_GAS,,EMILE HUCHET,7,,,,413,,,,,,
EMILE HUCHET 8,Gaz,FOSSIL_GAS,,EMILE HUCHET,8,,,,413,,,,,,
FLAMANVILLE 1,Nucléaire,NUCLEAR,,FLAMANVILLE,1,,,,1330,,,,,,
FLAMANVILLE 2,Nucléaire,NUCLEAR,,FLAMANVILLE,2,,,,1330,,,,,,
FR_CPCU COGEVITRY,Gaz,FOSSIL_GAS,,CPCU COGEVITRY,-,,,,125,,,,,,
FR_CPCU SAINT OUEN,Gaz,FOSSIL_GAS,,CPCU SAINT OUEN,-,,,,126,,,,,,
FR_CPCUCOGEVI_GP,Gaz,FOSSIL_GAS,,CPCUCOGEVI,-,,,,125,,,,,,
FR_CPCUSO_GP,Gaz,FOSSIL_GAS,,CPCUSO,-,,,,126,,,,,,
FR_LANDIVISIAUPU,Gaz,FOSSIL_GAS,,LANDIVISIAU,-,,,,446,,,,,,
FR_MAREGES,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,MAREGES,-,,,,146,,,,,,
FR_SAINT-PIERRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SAINT PIERRE,-,,,,122,,,,,,
FR-GA-MORANT1,Gaz,FOSSIL_GAS,,GA MORANT,-,,,,420,,,,,,
GENNEVILLIERS 1,Gaz,FOSSIL_GAS,,GENNEVILLIERS,1,,,,203,,,,,,
GOLFECH 1,Nucléaire,NUCLEAR,,GOLFECH,1,,,,1310,,,,,,
GOLFECH 2,Nucléaire,NUCLEAR,,GOLFECH,2,,,,1310,,,,,,
GRAND MAISON 1,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,1,,,,152,,,,,,
GRAND MAISON 10,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON ,10,,,,170,,,,,,
GRAND MAISON 11,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON ,11,,,,157,,,,,,
GRAND MAISON 12,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON ,12,,,,170,,,,,,
GRAND MAISON 2,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,2,,,,152,,,,,,
GRAND MAISON 3,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,3,,,,152,,,,,,
GRAND MAISON 4,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,4,,,,152,,,,,,
GRAND MAISON 5,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,5,,,,152,,,,,,
GRAND MAISON 6,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,6,,,,152,,,,,,
GRAND MAISON 7,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,7,,,,152,,,,,,
GRAND MAISON 8,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,8,,,,152,,,,,,
GRAND MAISON 9,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,GRAND MAISON,9,,,,157,,,,,,
GRAVELINES 1,Nucléaire,NUCLEAR,,GRAVELINES,1,,,,910,,,,,,
GRAVELINES 2,Nucléaire,NUCLEAR,,GRAVELINES,2,,,,910,,,,,,
GRAVELINES 3,Nucléaire,NUCLEAR,,GRAVELINES,3,,,,910,,,,,,
GRAVELINES 4,Nucléaire,NUCLEAR,,GRAVELINES,4,,,,910,,,,,,
GRAVELINES 5,Nucléaire,NUCLEAR,,GRAVELINES,5,,,,910,,,,,,
GRAVELINES 6,Nucléaire,NUCLEAR,,GRAVELINES,6,,,,910,,,,,,
GROUPE 01 DE LA CENTRALE DE SAUVETERRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SAUVETERRE,1,,,,33,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,AVIGNON,1,,,,30,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCAIRE,1,,,,35,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCHASTEL,1,,,,32,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOLLENE,1,,,,58.4,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOURG-LES-VALENCE,1,,,,30,,,,,,
