name,filiere,category,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SABLONS,4,,,,40,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,VAUGRIS,4,,,,18,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCAIRE,5,,,,35,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCHASTEL,5,,,,32,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOLLENE,5,,,,58,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOURG-LES-VALENCE,5,,,,30,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CADEROUSSE,5,,,,31.5,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHATEAUNEUF-DU-RHONE,5,,,,46,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GENISSIAT,5,,,,66.2,,,,,,
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,LOGIS-NEUF,5,,,,32,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCAIRE,6,,,,35,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCHASTEL,6,,,,32,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOLLENE,6,,,,58.4,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOURG-LES-VALENCE,6,,,,30,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CADEROUSSE,6,,,,30.9,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHATEAUNEUF-DU-RHONE,6,,,,45.8,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GENISSIAT,6,,,,69.8,,,,,,
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,LOGIS-NEUF,6,,,,32,,,,,,
HAVRE 4,Charbon,FOSSIL_HARD_COAL,,HAVRE,4,,,,580,,,,,,
HERMILLON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,HERMILLON,-,,,,118.6,,,,,,
LUCY 3,Charbon,FOSSIL_HARD_COAL,,LUCY,3,,,,245,,,,,,
MALGOVERT,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,MALGOVERT,-,,,,297,,,,,,
MARTIGUES PONTEAU 5,Gaz,FOSSIL_GAS,,MARTIGUES PONTEAU,5,,,,465,,,,,,
MARTIGUES PONTEAU 6,Gaz,FOSSIL_GAS,,MARTIGUES PONTEAU,6,,,,465,,,,,,
MAXE 1,Charbon,FOSSIL_HARD_COAL,,MAXE,1,,,,250,,,,,,
MAXE 2,Charbon,FOSSIL_HARD_COAL,,MAXE,2,,,,235,,,,,,
MONTEREAU 5,Fioul,FOSSIL_OIL,,MONTEREAU,5,,,,185,,,,,,
MONTEREAU 6,Fioul,FOSSIL_OIL,,MONTEREAU,6,,,,185,,,,,,
MONTEYNARD,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,MONTEYNARD,-,,,,366,,,,,,
MONTEZIC 1,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,MONTEZIC,1,,,,227,,,,,,
MONTEZIC 2,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,MONTEZIC,2,,,,227,,,,,,
MONTEZIC 3,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,MONTEZIC,3,,,,227,,,,,,
MONTEZIC 4,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,MONTEZIC,4,,,,227,,,,,,
MONTPEZAT,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,MONTPEZAT,-,,,,131.8,,,,,,
NOGENT 1,Nucléaire,NUCLEAR,,NOGENT,1,,,,1310,,,,,,
NOGENT 2,Nucléaire,NUCLEAR,,NOGENT,2,,,,1310,,,,,,
ORAISON,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,ORAISON,-,,,,187.5,,,,,,
PALUEL 1,Nucléaire,NUCLEAR,,PALUEL,1,,,,1330,,,,,,
PALUEL 2,Nucléaire,NUCLEAR,,PALUEL,2,,,,1330,,,,,,
PALUEL 3,Nucléaire,NUCLEAR,,PALUEL,3,,,,1330,,,,,,
PALUEL 4,Nucléaire,NUCLEAR,,PALUEL,4,,,,1330,,,,,,
PENLY 1,Nucléaire,NUCLEAR,,PENLY,1,,,,1330,,,,,,
PENLY 2,Nucléaire,NUCLEAR,,PENLY,2,,,,1330,,,,,,
PIED DE BORNE,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,PIED DE BORNE,-,,,,109.4,,,,,,
Pont-sur-Sambre,Gaz,FOSSIL_GAS,,PONT SUR SAMBRE,-,,,,445,,,,,,
PORCHEVILLE 1,Fioul,FOSSIL_OIL,,PORCHEVILLE,1,,,,585,,,,,,
PORCHEVILLE 2,Fioul,FOSSIL_OIL,,PORCHEVILLE,2,,,,585,,,,,,
PORCHEVILLE 3,Fioul,FOSSIL_OIL,,PORCHEVILLE,3,,,,535,,,,,,
PORCHEVILLE 4,Fioul,FOSSIL_OIL,,PORCHEVILLE,4,,,,585,,,,,,
POUGET,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,POUGET,-,,,,446.9,,,,,,
POUGET 4,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,POUGET,4,,,,286,,,,,,
PRAGNERES,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,PRAGNERES,-,,,,189.2,,,,,,
PROVENCE 4 BIOMASSE,Biomasse,BIOMASS,,PROVENCE,4,,,,,,,,,,
PROVENCE 5,Charbon,FOSSIL_HARD_COAL,,PROVENCE,5,,,,595,,,,,,
RANCE,Marin,MARINE,,RANCE,-,,,,240,,,,,,
RANDENS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,RANDENS,-,,,,124,,,,,,
REVIN 1,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,REVIN,1,,,,202,,,,,,
REVIN 2,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,REVIN,2,,,,202,,,,,,
REVIN 3,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,REVIN,3,,,,202,,,,,,
REVIN 4,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,REVIN,4,,,,202,,,,,,
SAINT CHAMAS,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SAINT CHAMAS,-,,,,159,,,,,,
SAINT ESTEVE,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SAINT ESTEVE,-,,,,146,,,,,,
SAINT GUILLERME,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SAINT GUILLERME,-,,,,116,,,,,,
SAINT PIERRE COGNET,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SAINT PIERRE COGNET,-,,,,101,,,,,,
Saint_Avold_7,Gaz,FOSSIL_GAS,,SAINT AVOLD,-,,,,446,,,,,,
Saint_Avold_8,Gaz,FOSSIL_GAS,,SAINT AVOLD,-,,,,446,,,,,,
SAINTE CROIX,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SAINTE CROIX,-,,,,132.3,,,,,,
SARRANS,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SARRANS,-,,,,183,,,,,,
SAUSSAZ,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SAUSSAZ,-,,,,150,,,,,,
SERRE PONCON,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SERRE PONCON,-,,,,384,,,,,,
SISTERON 1,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SISTERON,1,,,,124,,,,,,
SISTERON 2,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,SISTERON,2,,,,126,,,,,,
SPEM CCG,Gaz,FOSSIL_GAS,,SPEM,-,,,,435,,,,,,
SPEM pointe,Gaz,FOSSIL_GAS,,SPEM,-,,,,45,,,,,,
ST ALBAN 1,Nucléaire,NUCLEAR,,ST ALBAN,1,,,,1335,,,,,,
ST ALBAN 2,Nucléaire,NUCLEAR,,ST ALBAN,2,,,,1335,,,,,,
ST ETIENNE CANTALES,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,ST ETIENNE CANTALES,-,,,,103.3,,,,,,
ST LAURENT 1,Nucléaire,NUCLEAR,,ST LAURENT,1,,,,915,,,,,,
ST LAURENT 2,Nucléaire,NUCLEAR,,ST LAURENT,2,,,,915,,,,,,
SUPER BISSORTE 1,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,SUPER BISSORTE,1,,,,152,,,,,,
SUPER BISSORTE 2,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,SUPER BISSORTE,2,,,,152,,,,,,
SUPER BISSORTE 3,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,SUPER BISSORTE,3,,,,152,,,,,,
SUPER BISSORTE 4,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,SUPER BISSORTE,4,,,,152,,,,,,
SUPER BISSORTE 5,Hydraulique STEP,HYDRO_PUMPED_STORAGE,,SUPER BISSORTE,5,,,,162,,,,,,
TRICASTIN 1,Nucléaire,NUCLEAR,,TRICASTIN,1,,,,915,,,,,,
TRICASTIN 2,Nucléaire,NUCLEAR,,TRICASTIN,2,,,,915,,,,,,
TRICASTIN 3,Nucléaire,NUCLEAR,,TRICASTIN,3,,,,915,,,,,,
TRICASTIN 4,Nucléaire,NUCLEAR,,TRICASTIN,4,,,,915,,,,,,
VAIRES 1,Fioul,FOSSIL_OIL,,VAIRES,1,,,,181,,,,,,
VAIRES 2,Fioul,FOSSIL_OIL,,VAIRES,2,,,,179,,,,,,
VAIRES 3,Fioul,FOSSIL_OIL,,VAIRES,3,,,,182,,,,,,
VILLARODIN 1,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,VILLARODIN,1,,,,182,,,,,,
VILLARODIN 2,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,VILLARODIN,2,,,,182,,,,,,
VOUGLANS,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,VOUGLANS,-,,,,285,,,,,,
